,tconst,year,genres,averagerating,numvotes,title,studio,foreign_gross,release_date,budgets,world_gross,domestic_gross,rating,director,writer,theater_date
0,tt0337692,2012.0,"Adventure,Drama,Romance",6.1,37886.0,On the Road,IFC,8000000.0,"Mar 22, 2013",25000000.0,9313302.0,1464828.0,,,,
1,tt0359950,2013.0,"Adventure,Comedy,Drama",7.3,275300.0,The Secret Life of Walter Mitty,Fox,129900000.0,"Dec 25, 2013",91000000.0,187861183.0,116436838.0,,,,
2,tt0365907,2014.0,"Action,Crime,Drama",6.5,105116.0,A Walk Among the Tombstones,Uni.,26900000.0,"Sep 19, 2014",28000000.0,62108587.0,52317685.0,,,,
3,tt0369610,2015.0,"Action,Adventure,Sci-Fi",7.0,539338.0,Jurassic World,Uni.,1019.4,"Jun 12, 2015",215000000.0,1648854864.0,1304570625.0,,,,
4,tt0376136,2011.0,"Comedy,Drama",6.2,94787.0,The Rum Diary,FD,10800000.0,"Oct 28, 2011",45000000.0,21544732.0,26209815.0,,,,
5,tt0383010,2012.0,"Comedy,Family",5.1,28570.0,The Three Stooges,Fox,10500000.0,"Apr 13, 2012",30000000.0,54052249.0,88638224.0,,,,
6,tt0398286,2010.0,"Adventure,Animation,Comedy",7.8,366366.0,Tangled,BV,391000000.0,"Nov 24, 2010",260000000.0,586477240.0,401621936.0,,,,
7,tt0401729,2012.0,"Action,Adventure,Sci-Fi",6.6,241792.0,John Carter,BV,211100000.0,"Mar 9, 2012",275000000.0,282778100.0,146158679.0,,,,
8,tt0427152,2010.0,Comedy,5.9,91546.0,Dinner for Schmucks,P/DW,13800000.0,"Jul 30, 2010",69000000.0,86796502.0,146026337.0,,,,
9,tt0429493,2010.0,"Action,Adventure,Thriller",6.8,235256.0,The A-Team,Fox,100000000.0,"Jun 11, 2010",110000000.0,177241171.0,154422099.0,,,,
10,tt0431021,2012.0,"Horror,Mystery,Thriller",5.9,53649.0,The Possession,LGF,36300000.0,"Aug 31, 2012",14000000.0,82925064.0,98230588.0,,,,
11,tt0433035,2011.0,"Action,Drama,Family",7.1,283534.0,Real Steel,BV,213800000.0,"Oct 7, 2011",110000000.0,263880341.0,170963309.0,,,,
12,tt0435651,2014.0,"Drama,Romance,Sci-Fi",6.5,104999.0,The Giver,Wein.,21900000.0,"Aug 15, 2014",25000000.0,66540205.0,90190374.0,,,,
